X,Y,NUMEROLIGN,IDT_SOURCE,CODCOM,COMMUNE,STATUT_,DESIGNATIO,CENTROIDX,CENTROIDY,COMMUNES,TOTAL,TOTAL_R,IDLIGNE
5.247274228463468,43.442498691742927,                    5.0000000000,0132214L,,VITROLLES,PUBLIC,CLG HENRI FABRE,,,VITROLLES,517,                  517.0000000000,1
5.457030759695034,43.513838064978493,                    6.0000000000,0131712R,,AIX-EN-PROVENCE,PUBLIC,CLG ARC DE MEYRAN,,,AIX EN PROVENCE,847,                  847.0000000000,2
5.443908512053214,43.534295053853747,                    7.0000000000,0132325G,,AIX-EN-PROVENCE,PUBLIC,CLG Campra,,,AIX EN PROVENCE,464,                  464.0000000000,3
5.416359308357426,43.534257794844272,                    8.0000000000,0132009N,,AIX-EN-PROVENCE,PUBLIC,CLG Château Double,,,AIX EN PROVENCE,665,                  665.0000000000,4
5.41459104491615,43.527459842331815,                    9.0000000000,0130007M,,AIX-EN-PROVENCE,PUBLIC,CLG Jas de Bouffan,,,AIX EN PROVENCE,379,                  379.0000000000,5
5.440577538707726,43.536414681769109,                   10.0000000000,0131711P,,AIX-EN-PROVENCE,PUBLIC,CLG Rocher du Dragon,,,AIX EN PROVENCE,678,                  678.0000000000,6
5.428826723834204,43.51511261595391,                   11.0000000000,0132915Y,,AIX-EN-PROVENCE,PRIVE,CLG LYC La Nativité,,,AIX EN PROVENCE,850,                  850.0000000000,7
5.453491261347031,43.534440361889907,                   12.0000000000,0132917A,,AIX-EN-PROVENCE,PRIVE,CLG LYC Le Sacré Coeur,,,AIX EN PROVENCE,979,                  979.0000000000,8
5.448230091850755,43.532763000840681,                   13.0000000000,0131318M,,AIX-EN-PROVENCE,PRIVE,CLG St Joseph,,,AIX EN PROVENCE,224,                  224.0000000000,9
5.446488319451768,43.532821418216912,                   14.0000000000,0132955S,,AIX-EN-PROVENCE,PRIVE,CLG PRV STE CATHERINE DE SIENNE,,,AIX EN PROVENCE,245,                  245.0000000000,10
5.350369105195348,43.447684691494999,                   15.0000000000,0133115R,,CABRIES,PUBLIC,CLG Mauron,,,CABRIES,528,                  528.0000000000,11
5.55199337489734,43.448660915253932,                   16.0000000000,0133243E,,FUVEAU,PUBLIC,CLG Font d'Aurumy,,,FUVEAU,871,                  871.0000000000,12
