from_stop_id,to_stop_id,peak_fare,low_fare,senior_fare
11980,11984,4,4,4
11980,11993,4,4,4
11980,12461,4,4,4
12002,11984,4,4,4
12002,11993,4,4,4
12002,12461,4,4,4
11980,11979,4,4,4
11980,12003,4,4,4
12002,11979,4,4,4
12002,12003,4,4,4
11980,11521,6,6,6
11980,11543,6,6,6
11980,11977,6,6,6
11980,12005,6,6,6
11980,ABRDN,6,6,6
12002,11521,6,6,6
12002,11543,6,6,6
12002,11977,6,6,6
12002,12005,6,6,6
12002,ABRDN,6,6,6
11980,11958,7,7,7
12002,11958,7,7,7
11980,11986,5,5,5
11980,11991,5,5,5
12002,11986,5,5,5
12002,11991,5,5,5
11980,11985,5,5,5
11980,11992,5,5,5
12002,11985,5,5,5
12002,11992,5,5,5
11980,11976,7,7,7
12002,11976,7,7,7
11980,11988,6,6,6
11980,11989,6,6,6
12002,11988,6,6,6
12002,11989,6,6,6
11980,11987,6,6,6
11980,11990,6,6,6
12002,11987,6,6,6
12002,11990,6,6,6
11980,11981,4,4,4
11980,11995,4,4,4
12002,11981,4,4,4
12002,11995,4,4,4
11980,11982,4,4,4
11980,11994,4,4,4
12002,11982,4,4,4
12002,11994,4,4,4
11980,11978,5,5,5
11980,12004,5,5,5
12002,11978,5,5,5
12002,12004,5,5,5
11521,11984,7,7,7
11521,11993,7,7,7
11521,12461,7,7,7
11543,11984,7,7,7
11543,11993,7,7,7
11543,12461,7,7,7
11977,11984,7,7,7
11977,11993,7,7,7
11977,12461,7,7,7
12005,11984,7,7,7
12005,11993,7,7,7
12005,12461,7,7,7
ABRDN,11984,7,7,7
ABRDN,11993,7,7,7
ABRDN,12461,7,7,7
11521,11979,5,5,5
11521,12003,5,5,5
11543,11979,5,5,5
11543,12003,5,5,5
11977,11979,5,5,5
11977,12003,5,5,5
12005,11979,5,5,5
12005,12003,5,5,5
ABRDN,11979,5,5,5
ABRDN,12003,5,5,5
11521,11958,10,10,10
11543,11958,10,10,10
11977,11958,10,10,10
12005,11958,10,10,10
ABRDN,11958,10,10,10
11521,11986,8,8,8
11521,11991,8,8,8
11543,11986,8,8,8
11543,11991,8,8,8
11977,11986,8,8,8
11977,11991,8,8,8
12005,11986,8,8,8
12005,11991,8,8,8
ABRDN,11986,8,8,8
ABRDN,11991,8,8,8
11521,11980,6,6,6
11521,12002,6,6,6
11543,11980,6,6,6
11543,12002,6,6,6
11977,11980,6,6,6
11977,12002,6,6,6
12005,11980,6,6,6
12005,12002,6,6,6
ABRDN,11980,6,6,6
ABRDN,12002,6,6,6
11521,11985,8,8,8
11521,11992,8,8,8
11543,11985,8,8,8
11543,11992,8,8,8
11977,11985,8,8,8
11977,11992,8,8,8
12005,11985,8,8,8
12005,11992,8,8,8
ABRDN,11985,8,8,8
ABRDN,11992,8,8,8
11521,11976,4,4,4
11543,11976,4,4,4
11977,11976,4,4,4
12005,11976,4,4,4
ABRDN,11976,4,4,4
11521,11988,9,9,9
11521,11989,9,9,9
11543,11988,9,9,9
11543,11989,9,9,9
11977,11988,9,9,9
11977,11989,9,9,9
12005,11988,9,9,9
12005,11989,9,9,9
ABRDN,11988,9,9,9
ABRDN,11989,9,9,9
11521,11987,9,9,9
11521,11990,9,9,9
11543,11987,9,9,9
11543,11990,9,9,9
11977,11987,9,9,9
11977,11990,9,9,9
12005,11987,9,9,9
12005,11990,9,9,9
ABRDN,11987,9,9,9
ABRDN,11990,9,9,9
11521,11981,6,6,6
11521,11995,6,6,6
11543,11981,6,6,6
11543,11995,6,6,6
11977,11981,6,6,6
11977,11995,6,6,6
12005,11981,6,6,6
12005,11995,6,6,6
ABRDN,11981,6,6,6
ABRDN,11995,6,6,6
11521,11982,7,7,7
11521,11994,7,7,7
11543,11982,7,7,7
11543,11994,7,7,7
11977,11982,7,7,7
11977,11994,7,7,7
12005,11982,7,7,7
12005,11994,7,7,7
ABRDN,11982,7,7,7
ABRDN,11994,7,7,7
11521,11978,4,4,4
11521,12004,4,4,4
11543,11978,4,4,4
11543,12004,4,4,4
11977,11978,4,4,4
11977,12004,4,4,4
12005,11978,4,4,4
12005,12004,4,4,4
ABRDN,11978,4,4,4
ABRDN,12004,4,4,4
11986,11984,4,4,4
11986,11993,4,4,4
11986,12461,4,4,4
11991,11984,4,4,4
11991,11993,4,4,4
11991,12461,4,4,4
11986,11979,6,6,6
11986,12003,6,6,6
11991,11979,6,6,6
11991,12003,6,6,6
11986,11521,8,8,8
11986,11543,8,8,8
11986,11977,8,8,8
11986,12005,8,8,8
11986,ABRDN,8,8,8
11991,11521,8,8,8
11991,11543,8,8,8
11991,11977,8,8,8
11991,12005,8,8,8
11991,ABRDN,8,8,8
11986,11958,5,5,5
11991,11958,5,5,5
11986,11980,5,5,5
11986,12002,5,5,5
11991,11980,5,5,5
11991,12002,5,5,5
11986,11985,4,4,4
11986,11992,4,4,4
11991,11985,4,4,4
11991,11992,4,4,4
11986,11976,9,9,9
11991,11976,9,9,9
11986,11988,4,4,4
11986,11989,4,4,4
11991,11988,4,4,4
11991,11989,4,4,4
11986,11987,4,4,4
11986,11990,4,4,4
11991,11987,4,4,4
11991,11990,4,4,4
11986,11981,5,5,5
11986,11995,5,5,5
11991,11981,5,5,5
11991,11995,5,5,5
11986,11982,4,4,4
11986,11994,4,4,4
11991,11982,4,4,4
11991,11994,4,4,4
11986,11978,7,7,7
11986,12004,7,7,7
11991,11978,7,7,7
11991,12004,7,7,7
11984,11979,5,5,5
11984,12003,5,5,5
11993,11979,5,5,5
11993,12003,5,5,5
12461,11979,5,5,5
12461,12003,5,5,5
11984,11521,7,7,7
11984,11543,7,7,7
11984,11977,7,7,7
11984,12005,7,7,7
11984,ABRDN,7,7,7
11993,11521,7,7,7
11993,11543,7,7,7
11993,11977,7,7,7
11993,12005,7,7,7
11993,ABRDN,7,7,7
12461,11521,7,7,7
12461,11543,7,7,7
12461,11977,7,7,7
12461,12005,7,7,7
12461,ABRDN,7,7,7
11984,11958,6,6,6
11993,11958,6,6,6
12461,11958,6,6,6
11984,11986,4,4,4
11984,11991,4,4,4
11993,11986,4,4,4
11993,11991,4,4,4
12461,11986,4,4,4
12461,11991,4,4,4
11984,11980,4,4,4
11984,12002,4,4,4
11993,11980,4,4,4
11993,12002,4,4,4
12461,11980,4,4,4
12461,12002,4,4,4
11984,11985,4,4,4
11984,11992,4,4,4
11993,11985,4,4,4
11993,11992,4,4,4
12461,11985,4,4,4
12461,11992,4,4,4
11984,11976,8,8,8
11993,11976,8,8,8
12461,11976,8,8,8
11984,11988,5,5,5
11984,11989,5,5,5
11993,11988,5,5,5
11993,11989,5,5,5
12461,11988,5,5,5
12461,11989,5,5,5
11984,11987,5,5,5
11984,11990,5,5,5
11993,11987,5,5,5
11993,11990,5,5,5
12461,11987,5,5,5
12461,11990,5,5,5
11984,11981,4,4,4
11984,11995,4,4,4
11993,11981,4,4,4
11993,11995,4,4,4
12461,11981,4,4,4
12461,11995,4,4,4
11984,11982,4,4,4
11984,11994,4,4,4
11993,11982,4,4,4
11993,11994,4,4,4
12461,11982,4,4,4
12461,11994,4,4,4
11984,11978,6,6,6
11984,12004,6,6,6
11993,11978,6,6,6
11993,12004,6,6,6
12461,11978,6,6,6
12461,12004,6,6,6
11978,11984,6,6,6
11978,11993,6,6,6
11978,12461,6,6,6
12004,11984,6,6,6
12004,11993,6,6,6
12004,12461,6,6,6
11978,11979,4,4,4
11978,12003,4,4,4
12004,11979,4,4,4
12004,12003,4,4,4
11978,11521,4,4,4
11978,11543,4,4,4
11978,11977,4,4,4
11978,12005,4,4,4
11978,ABRDN,4,4,4
12004,11521,4,4,4
12004,11543,4,4,4
12004,11977,4,4,4
12004,12005,4,4,4
12004,ABRDN,4,4,4
11978,11958,9,9,9
12004,11958,9,9,9
11978,11986,7,7,7
11978,11991,7,7,7
12004,11986,7,7,7
12004,11991,7,7,7
11978,11980,5,5,5
11978,12002,5,5,5
12004,11980,5,5,5
12004,12002,5,5,5
11978,11985,7,7,7
11978,11992,7,7,7
12004,11985,7,7,7
12004,11992,7,7,7
11978,11976,5,5,5
12004,11976,5,5,5
11978,11988,8,8,8
11978,11989,8,8,8
12004,11988,8,8,8
12004,11989,8,8,8
11978,11987,8,8,8
11978,11990,8,8,8
12004,11987,8,8,8
12004,11990,8,8,8
11978,11981,5,5,5
11978,11995,5,5,5
12004,11981,5,5,5
12004,11995,5,5,5
11978,11982,6,6,6
11978,11994,6,6,6
12004,11982,6,6,6
12004,11994,6,6,6
11982,11984,4,4,4
11982,11993,4,4,4
11982,12461,4,4,4
11994,11984,4,4,4
11994,11993,4,4,4
11994,12461,4,4,4
11982,11979,5,5,5
11982,12003,5,5,5
11994,11979,5,5,5
11994,12003,5,5,5
11982,11521,7,7,7
11982,11543,7,7,7
11982,11977,7,7,7
11982,12005,7,7,7
11982,ABRDN,7,7,7
11994,11521,7,7,7
11994,11543,7,7,7
11994,11977,7,7,7
11994,12005,7,7,7
11994,ABRDN,7,7,7
11982,11958,6,6,6
11994,11958,6,6,6
11982,11986,4,4,4
11982,11991,4,4,4
11994,11986,4,4,4
11994,11991,4,4,4
11982,11980,4,4,4
11982,12002,4,4,4
11994,11980,4,4,4
11994,12002,4,4,4
11982,11985,4,4,4
11982,11992,4,4,4
11994,11985,4,4,4
11994,11992,4,4,4
11982,11976,8,8,8
11994,11976,8,8,8
11982,11988,5,5,5
11982,11989,5,5,5
11994,11988,5,5,5
11994,11989,5,5,5
11982,11987,5,5,5
11982,11990,5,5,5
