from_web_code,from_web_name,from_stop_id,to_web_code,to_web_name,to_stop_id,peak_fare,low_fare,senior_fare,dist,time
1,Metro Center,7588,92,Addison Road-Seat Pleasant,13107,3.65,2.75,1.8,8.1,23.0
1,Metro Center,7588,85,Anacostia,6751,2.2,1.8,1.1,3.39,11.0
1,Metro Center,7588,81,Archives-Navy Memorial-Penn Quarter,7477,2.1,1.7,1.05,0.56,8.0
1,Metro Center,7588,42,Arlington Cemetery,12926,2.1,1.7,1.05,2.88,9.0
1,Metro Center,7588,99,Ballston-MU,12631,2.75,2.05,1.35,5.03,15.0
1,Metro Center,7588,90,Benning Road,4613,2.95,2.05,1.45,5.66,17.0
1,Metro Center,7588,12,Bethesda,4387,3.35,2.65,1.65,7.14,17.0
1,Metro Center,7588,47,Braddock Road,13986,3.4,2.65,1.7,7.2,23.0
1,Metro Center,7588,89,Branch Ave,21110,3.9,2.75,1.95,9.02,24.0
1,Metro Center,7588,27,Brookland-CUA,4710,2.25,1.8,1.1,3.47,9.0
1,Metro Center,7588,91,Capitol Heights,1305,3.35,2.65,1.65,7.12,20.0
1,Metro Center,7588,59,Capitol South,12900,2.1,1.7,1.05,1.82,9.0
1,Metro Center,7588,66,Cheverly,999,3.35,2.65,1.65,7.11,21.0
1,Metro Center,7588,97,Clarendon,12648,2.4,1.95,1.2,4.01,11.0
1,Metro Center,7588,8,Cleveland Park,4912,2.15,1.7,1.05,3.1,8.0
1,Metro Center,7588,79,College Park-U of MD,11733,3.9,2.75,1.95,9.11,24.0
1,Metro Center,7588,75,Columbia Heights,25552,2.1,1.7,1.05,2.46,14.0
1,Metro Center,7588,86,Congress Heights,4655,2.6,2.05,1.3,4.66,14.0
1,Metro Center,7588,96,Court House,12488,2.25,1.8,1.1,3.52,9.0
1,Metro Center,7588,45,Crystal City,9720,2.4,1.9,1.2,3.94,15.0
1,Metro Center,7588,65,Deanwood,5030,3.05,2.05,1.5,5.99,19.0
1,Metro Center,7588,102,Dunn Loring-Merrifield,11602,4.6,3.5,2.3,11.54,26.0
1,Metro Center,7588,6,Dupont Circle,4956,2.1,1.7,1.05,1.22,4.0
1,Metro Center,7588,100,East Falls Church,12282,3.45,2.7,1.7,7.41,19.0
1,Metro Center,7588,60,Eastern Market,6479,2.1,1.7,1.05,2.29,11.0
1,Metro Center,7588,49,Eisenhower Avenue,9880,3.75,2.75,1.85,8.47,27.0
1,Metro Center,7588,4,Farragut North,5635,2.1,1.7,1.05,0.74,2.0
1,Metro Center,7588,38,Farragut West,7932,2.1,1.7,1.05,0.77,2.0
1,Metro Center,7588,58,Federal Center SW,7333,2.1,1.7,1.05,1.32,7.0
1,Metro Center,7588,53,Federal Triangle,7671,2.1,1.7,1.05,0.31,1.0
1,Metro Center,7588,40,Foggy Bottom-GWU,8040,2.1,1.7,1.05,1.28,4.0
1,Metro Center,7588,32,Forest Glen,21029,3.95,2.75,1.95,9.19,21.0
1,Metro Center,7588,28,Fort Totten,5305,2.6,2.05,1.3,4.62,12.0
1,Metro Center,7588,95,Franconia-Springfield,14816,5.35,3.5,2.65,14.16,35.0
1,Metro Center,7588,11,Friendship Heights,4364,2.9,2.05,1.45,5.46,14.0
1,Metro Center,7588,21,Gallery Pl-Chinatown,7474,2.1,1.7,1.05,0.29,1.0
1,Metro Center,7588,76,Georgia Ave-Petworth,25553,2.15,1.7,1.05,3.09,17.0
1,Metro Center,7588,34,Glenmont,16051,4.85,3.5,2.4,12.52,28.0
1,Metro Center,7588,80,Greenbelt,11731,4.6,3.5,2.3,11.49,27.0
1,Metro Center,7588,14,Grosvenor-Strathmore,3542,4.25,3.3,2.1,10.33,22.0
1,Metro Center,7588,50,Huntington,10776,3.9,2.75,1.95,8.98,28.0
1,Metro Center,7588,23,Judiciary Square,12874,2.1,1.7,1.05,0.65,2.0
1,Metro Center,7588,48,King St-Old Town,13995,3.55,2.75,1.75,7.83,25.0
1,Metro Center,7588,82,L'Enfant Plaza,5017,2.1,1.7,1.05,1.09,5.0
1,Metro Center,7588,67,Landover,2124,3.85,2.75,1.9,8.84,24.0
1,Metro Center,7588,109,Largo Town Center,4697,4.4,3.45,2.2,10.86,29.0
1,Metro Center,7588,36,McPherson Square,7812,2.1,1.7,1.05,0.41,1.0
1,Metro Center,7588,13,Medical Center,2640,3.65,2.75,1.8,8.15,19.0
1,Metro Center,7588,64,Minnesota Ave,25426,2.8,2.05,1.4,5.21,17.0
1,Metro Center,7588,110,Morgan Boulevard,4664,4.05,2.75,2.0,9.59,26.0
1,Metro Center,7588,70,Mt Vernon Sq 7th St-Convention Center,10344,2.1,1.7,1.05,0.76,9.0
1,Metro Center,7588,84,Navy Yard-Ballpark,5759,2.1,1.7,1.05,2.27,9.0
1,Metro Center,7588,87,Naylor Road,7686,3.1,2.05,1.55,6.25,19.0
1,Metro Center,7588,68,New Carrollton,2658,4.25,3.3,2.1,10.23,27.0
1,Metro Center,7588,108,NoMa-Gallaudet,4567,2.1,1.7,1.05,1.72,5.0
1,Metro Center,7588,43,Pentagon,12928,2.1,1.7,1.05,2.98,12.0
1,Metro Center,7588,44,Pentagon City,12930,2.3,1.85,1.15,3.57,13.0
1,Metro Center,7588,61,Potomac Ave,6553,2.1,1.7,1.05,2.9,13.0
1,Metro Center,7588,78,Prince George's Plaza,3034,3.4,2.7,1.7,7.29,21.0
1,Metro Center,7588,26,Rhode Island Ave-Brentwood,6671,2.1,1.7,1.05,2.71,7.0
1,Metro Center,7588,17,Rockville,7993,5.5,3.5,2.75,14.78,30.0
1,Metro Center,7588,93,Ronald Reagan Washington National Airport,9838,2.5,2.0,1.25,4.3,18.0
1,Metro Center,7588,41,Rosslyn,11332,2.1,1.7,1.05,1.36,7.0
