from_stop_id,to_stop_id,peak_fare,low_fare,senior_fare
00000000000000000000000000000002,00000000000000000000000000000001,5.80,5.80,5.80
00000000000000000000000000000001,00000000000000000000000000000002,5.80,5.80,5.80
00000000000000000000000000000002,00000000000000000000000000000004,6.45,6.45,6.45
00000000000000000000000000000004,00000000000000000000000000000002,6.45,6.45,6.45
00000000000000000000000000000002,00000000000000000000000000000003,6.45,6.45,6.45
00000000000000000000000000000003,00000000000000000000000000000002,6.45,6.45,6.45
00000000000000000000000000000001,00000000000000000000000000000004,6.45,6.45,6.45
00000000000000000000000000000004,00000000000000000000000000000001,6.45,6.45,6.45
00000000000000000000000000000001,00000000000000000000000000000003,6.45,6.45,6.45
00000000000000000000000000000003,00000000000000000000000000000001,6.45,6.45,6.45
00000000000000000000000000000002,0000000000000000000000000000000D,7.10,7.10,7.10
0000000000000000000000000000000D,00000000000000000000000000000002,7.10,7.10,7.10
00000000000000000000000000000002,00000000000000000000000000000005,7.10,7.10,7.10
00000000000000000000000000000005,00000000000000000000000000000002,7.10,7.10,7.10
00000000000000000000000000000001,0000000000000000000000000000000D,7.10,7.10,7.10
0000000000000000000000000000000D,00000000000000000000000000000001,7.10,7.10,7.10
00000000000000000000000000000001,00000000000000000000000000000005,7.10,7.10,7.10
00000000000000000000000000000005,00000000000000000000000000000001,7.10,7.10,7.10
00000000000000000000000000000002,0000000000000000000000000000000F,7.80,7.80,7.80
0000000000000000000000000000000F,00000000000000000000000000000002,7.80,7.80,7.80
00000000000000000000000000000002,00000000000000000000000000000006,7.80,7.80,7.80
00000000000000000000000000000006,00000000000000000000000000000002,7.80,7.80,7.80
00000000000000000000000000000002,0000000000000000000000000000000E,7.80,7.80,7.80
0000000000000000000000000000000E,00000000000000000000000000000002,7.80,7.80,7.80
00000000000000000000000000000001,0000000000000000000000000000000F,7.80,7.80,7.80
0000000000000000000000000000000F,00000000000000000000000000000001,7.80,7.80,7.80
00000000000000000000000000000001,00000000000000000000000000000006,7.80,7.80,7.80
00000000000000000000000000000006,00000000000000000000000000000001,7.80,7.80,7.80
00000000000000000000000000000001,0000000000000000000000000000000E,7.80,7.80,7.80
0000000000000000000000000000000E,00000000000000000000000000000001,7.80,7.80,7.80
00000000000000000000000000000002,00000000000000000000000000000008,8.45,8.45,8.45
00000000000000000000000000000008,00000000000000000000000000000002,8.45,8.45,8.45
00000000000000000000000000000002,00000000000000000000000000000007,8.45,8.45,8.45
00000000000000000000000000000007,00000000000000000000000000000002,8.45,8.45,8.45
00000000000000000000000000000001,00000000000000000000000000000008,8.45,8.45,8.45
00000000000000000000000000000008,00000000000000000000000000000001,8.45,8.45,8.45
00000000000000000000000000000001,00000000000000000000000000000007,8.45,8.45,8.45
00000000000000000000000000000007,00000000000000000000000000000001,8.45,8.45,8.45
00000000000000000000000000000002,00000000000000000000000000000012,9.10,9.10,9.10
00000000000000000000000000000012,00000000000000000000000000000002,9.10,9.10,9.10
00000000000000000000000000000002,00000000000000000000000000000011,9.10,9.10,9.10
00000000000000000000000000000011,00000000000000000000000000000002,9.10,9.10,9.10
00000000000000000000000000000002,00000000000000000000000000000010,9.10,9.10,9.10
00000000000000000000000000000010,00000000000000000000000000000002,9.10,9.10,9.10
00000000000000000000000000000002,00000000000000000000000000000009,9.10,9.10,9.10
00000000000000000000000000000009,00000000000000000000000000000002,9.10,9.10,9.10
00000000000000000000000000000001,00000000000000000000000000000012,9.10,9.10,9.10
00000000000000000000000000000012,00000000000000000000000000000001,9.10,9.10,9.10
00000000000000000000000000000001,00000000000000000000000000000011,9.10,9.10,9.10
00000000000000000000000000000011,00000000000000000000000000000001,9.10,9.10,9.10
00000000000000000000000000000001,00000000000000000000000000000010,9.10,9.10,9.10
00000000000000000000000000000010,00000000000000000000000000000001,9.10,9.10,9.10
00000000000000000000000000000001,00000000000000000000000000000009,9.10,9.10,9.10
00000000000000000000000000000009,00000000000000000000000000000001,9.10,9.10,9.10
00000000000000000000000000000002,0000000000000000000000000000000A,10.40,10.40,10.40
0000000000000000000000000000000A,00000000000000000000000000000002,10.40,10.40,10.40
00000000000000000000000000000002,0000000000000000000000000000000B,10.40,10.40,10.40
0000000000000000000000000000000B,00000000000000000000000000000002,10.40,10.40,10.40
00000000000000000000000000000001,0000000000000000000000000000000A,10.40,10.40,10.40
0000000000000000000000000000000A,00000000000000000000000000000001,10.40,10.40,10.40
00000000000000000000000000000001,0000000000000000000000000000000B,10.40,10.40,10.40
0000000000000000000000000000000B,00000000000000000000000000000001,10.40,10.40,10.40
00000000000000000000000000000002,0000000000000000000000000000000C,11.10,11.10,11.10
0000000000000000000000000000000C,00000000000000000000000000000002,11.10,11.10,11.10
00000000000000000000000000000001,0000000000000000000000000000000C,11.10,11.10,11.10
0000000000000000000000000000000C,00000000000000000000000000000001,11.10,11.10,11.10
00000000000000000000000000000004,00000000000000000000000000000003,5.80,5.80,5.80
00000000000000000000000000000003,00000000000000000000000000000004,5.80,5.80,5.80
00000000000000000000000000000004,0000000000000000000000000000000D,6.45,6.45,6.45
0000000000000000000000000000000D,00000000000000000000000000000004,6.45,6.45,6.45
00000000000000000000000000000004,00000000000000000000000000000005,6.45,6.45,6.45
00000000000000000000000000000005,00000000000000000000000000000004,6.45,6.45,6.45
00000000000000000000000000000003,0000000000000000000000000000000D,6.45,6.45,6.45
0000000000000000000000000000000D,00000000000000000000000000000003,6.45,6.45,6.45
00000000000000000000000000000003,00000000000000000000000000000005,6.45,6.45,6.45
00000000000000000000000000000005,00000000000000000000000000000003,6.45,6.45,6.45
00000000000000000000000000000004,0000000000000000000000000000000F,7.10,7.10,7.10
0000000000000000000000000000000F,00000000000000000000000000000004,7.10,7.10,7.10
00000000000000000000000000000004,00000000000000000000000000000006,7.10,7.10,7.10
00000000000000000000000000000006,00000000000000000000000000000004,7.10,7.10,7.10
00000000000000000000000000000004,0000000000000000000000000000000E,7.10,7.10,7.10
0000000000000000000000000000000E,00000000000000000000000000000004,7.10,7.10,7.10
00000000000000000000000000000003,0000000000000000000000000000000F,7.10,7.10,7.10
0000000000000000000000000000000F,00000000000000000000000000000003,7.10,7.10,7.10
00000000000000000000000000000003,00000000000000000000000000000006,7.10,7.10,7.10
00000000000000000000000000000006,00000000000000000000000000000003,7.10,7.10,7.10
00000000000000000000000000000003,0000000000000000000000000000000E,7.10,7.10,7.10
0000000000000000000000000000000E,00000000000000000000000000000003,7.10,7.10,7.10
00000000000000000000000000000004,00000000000000000000000000000008,7.80,7.80,7.80
